Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-02,1896.699951171875,1896.800048828125,1853.0,1861.800048828125,385,0,0
2022-05-03,1868.800048828125,1868.800048828125,1868.800048828125,1868.800048828125,466,0,0
2022-05-04,1867.0,1867.0,1867.0,1867.0,1,0,0
2022-05-05,1897.0,1904.300048828125,1874.0,1874.0,80,0,0
2022-05-06,1874.699951171875,1890.300048828125,1871.5,1881.199951171875,214,0,0
2022-05-09,1866.5999755859375,1867.5,1854.0,1857.0999755859375,304,0,0
2022-05-10,1839.9000244140625,1839.9000244140625,1839.9000244140625,1839.9000244140625,1540,0,0
2022-05-11,1841.5,1852.5999755859375,1841.0,1852.5999755859375,892,0,0
2022-05-12,1849.800048828125,1851.9000244140625,1822.199951171875,1823.800048828125,153,0,0
2022-05-13,1825.0,1825.0,1807.4000244140625,1807.4000244140625,335,0,0
2022-05-16,1790.5,1813.5,1787.0,1813.5,34,0,0
2022-05-17,1824.9000244140625,1828.5999755859375,1816.699951171875,1818.199951171875,121,0,0
2022-05-18,1815.0,1819.699951171875,1805.0,1815.9000244140625,311,0,0
2022-05-19,1810.9000244140625,1841.199951171875,1810.699951171875,1841.199951171875,138,0,0
2022-05-20,1839.0999755859375,1841.800048828125,1836.300048828125,1841.800048828125,110,0,0
2022-05-23,1846.300048828125,1863.0,1845.800048828125,1847.800048828125,216,0,0
2022-05-24,1852.5,1867.0,1852.5,1865.0999755859375,33,0,0
2022-05-25,1846.199951171875,1846.199951171875,1846.199951171875,1846.199951171875,0,0,0
2022-05-26,1840.4000244140625,1847.4000244140625,1840.4000244140625,1847.4000244140625,123355,0,0
2022-05-27,1848.300048828125,1860.699951171875,1845.9000244140625,1851.300048828125,123355,0,0
2022-05-30,1856.5,1867.9000244140625,1849.5999755859375,1863.199951171875,26361,0,0
