UPDATED_AT,ASK_OPEN
2022-12-05 01:44:00+00:00,17233.76953125
2022-12-05 01:45:00+00:00,17234.62109375
2022-12-05 01:46:00+00:00,17233.6328125
2022-12-05 01:47:00+00:00,17233.564453125
2022-12-05 01:48:00+00:00,17233.673828125
2022-12-05 01:49:00+00:00,17238.00390625
2022-12-05 01:51:00+00:00,17243.76171875
2022-12-05 01:52:00+00:00,17247.6875
2022-12-05 01:53:00+00:00,17255.146484375
2022-12-05 01:55:00+00:00,17255.84375
2022-12-05 01:56:00+00:00,17260.9765625
2022-12-05 01:57:00+00:00,17261.9375
2022-12-05 01:58:00+00:00,17263.599609375
2022-12-05 01:59:00+00:00,17266.638671875
2022-12-05 02:00:00+00:00,17264.685546875
2022-12-05 02:01:00+00:00,17264.767578125
2022-12-05 02:02:00+00:00,17265.654296875
2022-12-05 02:03:00+00:00,17266.15625
2022-12-05 02:04:00+00:00,17272.9765625
2022-12-05 02:05:00+00:00,17272.509765625
2022-12-05 02:06:00+00:00,17271.48046875
2022-12-05 02:07:00+00:00,17270.52734375
2022-12-05 02:08:00+00:00,17271.2109375
2022-12-05 02:09:00+00:00,17270.765625
2022-12-05 02:10:00+00:00,17270.513671875
2022-12-05 02:11:00+00:00,17270.017578125
2022-12-05 02:12:00+00:00,17271.03515625
2022-12-05 02:13:00+00:00,17269.181640625
2022-12-05 02:14:00+00:00,17269.630859375
2022-12-05 02:16:00+00:00,17269.23046875
2022-12-05 02:17:00+00:00,17268.302734375
2022-12-05 02:19:00+00:00,17261.1953125
2022-12-05 02:20:00+00:00,17258.61328125
2022-12-05 02:21:00+00:00,17257.318359375
2022-12-05 02:22:00+00:00,17254.12109375
2022-12-05 02:23:00+00:00,17255.322265625
2022-12-05 02:24:00+00:00,17255.357421875
2022-12-05 02:25:00+00:00,17254.107421875
2022-12-05 02:26:00+00:00,17257.984375
2022-12-05 02:27:00+00:00,17260.44140625
2022-12-05 02:28:00+00:00,17264.794921875
2022-12-05 02:29:00+00:00,17266.794921875
2022-12-05 02:30:00+00:00,17264.849609375
2022-12-05 02:31:00+00:00,17265.923828125
2022-12-05 02:32:00+00:00,17263.29296875
2022-12-05 02:33:00+00:00,17263.869140625
2022-12-05 02:34:00+00:00,17261.6953125
2022-12-05 02:35:00+00:00,17263.470703125
2022-12-05 02:36:00+00:00,17261.6171875
2022-12-05 02:37:00+00:00,17257.90625
2022-12-05 02:38:00+00:00,17256.13671875
2022-12-05 02:39:00+00:00,17256.904296875
2022-12-05 02:40:00+00:00,17252.65234375
2022-12-05 02:41:00+00:00,17252.802734375
2022-12-05 02:42:00+00:00,17256.982421875
2022-12-05 02:43:00+00:00,17258.76171875
2022-12-05 02:44:00+00:00,17259.48828125
2022-12-05 02:45:00+00:00,17261.220703125
2022-12-05 02:46:00+00:00,17266.990234375
2022-12-05 02:47:00+00:00,17272.201171875
2022-12-05 02:48:00+00:00,17274.103515625
2022-12-05 02:49:00+00:00,17295.0078125
2022-12-05 02:50:00+00:00,17294.18359375
2022-12-05 02:51:00+00:00,17293.701171875
2022-12-05 02:52:00+00:00,17290.744140625
2022-12-05 02:53:00+00:00,17291.876953125
2022-12-05 02:55:00+00:00,17290.734375
2022-12-05 02:56:00+00:00,17287.259765625
2022-12-05 02:57:00+00:00,17290.333984375
2022-12-05 02:58:00+00:00,17289.10546875
2022-12-05 02:59:00+00:00,17283.650390625
2022-12-05 03:00:00+00:00,17279.01953125
2022-12-05 03:01:00+00:00,17258.708984375
2022-12-05 03:02:00+00:00,17256.193359375
2022-12-05 03:03:00+00:00,17254.92578125
2022-12-05 03:04:00+00:00,17248.4140625
2022-12-05 03:05:00+00:00,17248.529296875
2022-12-05 03:06:00+00:00,17249.96484375
